ID,year,visits
1,1896,269
2,1897,321
3,1898,585
4,1899,871
5,1900,1475
6,1901,2821
7,1902,3928
8,1903,5943
9,1904,4950
10,1905,2577
11,1906,523
12,1907,98
13,1908,184
14,1909,279
15,1910,409
16,1911,2285
17,1912,2685
18,1913,3409
19,1914,1824
20,1915,409
21,1916,151
22,1917,45
23,1918,68
24,1919,213
25,1920,546
26,1921,1033
27,1922,2129
28,1923,2536
29,1924,957
30,1925,361
31,1926,377
32,1927,225
33,1928,360
34,1929,731
35,1930,1638
36,1931,2725
37,1932,2871
38,1933,2119
39,1934,684
40,1935,299
41,1936,236
42,1937,245
43,1938,552
44,1939,1623
45,1940,3311
46,1941,6721
47,1942,4254
48,1943,687
49,1944,255
50,1945,473
51,1946,358
52,1947,784
53,1948,1594
54,1949,1676
55,1950,2251
56,1951,1426
57,1952,756
58,1953,299
59,1954,201
60,1955,229
61,1956,469
62,1957,736
63,1958,2042
64,1959,2811
65,1960,4431
66,1961,2511
67,1962,389
68,1963,73
69,1964,39
70,1965,49
71,1966,59
72,1967,188
73,1968,377
74,1969,1292
75,1970,4031
76,1971,3495
77,1972,587
78,1973,105
79,1974,153
80,1975,387
81,1976,758
82,1977,1307
83,1978,3465
84,1979,6991
85,1980,6313
86,1981,3794
87,1982,1836
88,1983,345
89,1984,382
90,1985,808
91,1986,1388
92,1987,2713
93,1988,3800
94,1989,3091
95,1990,2985
96,1991,3790
97,1992,674
98,1993,81
99,1994,80
100,1995,108
101,1996,229
102,1997,399
103,1998,1132
104,1999,2432
105,2000,3574
106,2001,2935
107,2002,1537
108,2003,529
109,2004,485
110,2005,662
111,2006,1000
112,2007,1590
113,2008,2657
114,2009,3396
